emoji,description,group,points,primary
🙅🏿‍♂️,"man gesturing NO: dark skin tone",People & Body,1F645 1F3FF 200D 2642 FE0F,false
🙅‍♀️,"woman gesturing NO",People & Body,1F645 200D 2640 FE0F,false
🙅🏻‍♀️,"woman gesturing NO: light skin tone",People & Body,1F645 1F3FB 200D 2640 FE0F,false
🙅🏼‍♀️,"woman gesturing NO: medium-light skin tone",People & Body,1F645 1F3FC 200D 2640 FE0F,false
🙅🏽‍♀️,"woman gesturing NO: medium skin tone",People & Body,1F645 1F3FD 200D 2640 FE0F,false
🙅🏾‍♀️,"woman gesturing NO: medium-dark skin tone",People & Body,1F645 1F3FE 200D 2640 FE0F,false
🙅🏿‍♀️,"woman gesturing NO: dark skin tone",People & Body,1F645 1F3FF 200D 2640 FE0F,false
🙆,"person gesturing OK",People & Body,1F646,true
🙆🏻,"person gesturing OK: light skin tone",People & Body,1F646 1F3FB,false
🙆🏼,"person gesturing OK: medium-light skin tone",People & Body,1F646 1F3FC,false
🙆🏽,"person gesturing OK: medium skin tone",People & Body,1F646 1F3FD,false
🙆🏾,"person gesturing OK: medium-dark skin tone",People & Body,1F646 1F3FE,false
🙆🏿,"person gesturing OK: dark skin tone",People & Body,1F646 1F3FF,false
🙆‍♂️,"man gesturing OK",People & Body,1F646 200D 2642 FE0F,false
🙆🏻‍♂️,"man gesturing OK: light skin tone",People & Body,1F646 1F3FB 200D 2642 FE0F,false
🙆🏼‍♂️,"man gesturing OK: medium-light skin tone",People & Body,1F646 1F3FC 200D 2642 FE0F,false
🙆🏽‍♂️,"man gesturing OK: medium skin tone",People & Body,1F646 1F3FD 200D 2642 FE0F,false
🙆🏾‍♂️,"man gesturing OK: medium-dark skin tone",People & Body,1F646 1F3FE 200D 2642 FE0F,false
🙆🏿‍♂️,"man gesturing OK: dark skin tone",People & Body,1F646 1F3FF 200D 2642 FE0F,false
🙆‍♀️,"woman gesturing OK",People & Body,1F646 200D 2640 FE0F,false
🙆🏻‍♀️,"woman gesturing OK: light skin tone",People & Body,1F646 1F3FB 200D 2640 FE0F,false
🙆🏼‍♀️,"woman gesturing OK: medium-light skin tone",People & Body,1F646 1F3FC 200D 2640 FE0F,false
🙆🏽‍♀️,"woman gesturing OK: medium skin tone",People & Body,1F646 1F3FD 200D 2640 FE0F,false
🙆🏾‍♀️,"woman gesturing OK: medium-dark skin tone",People & Body,1F646 1F3FE 200D 2640 FE0F,false
🙆🏿‍♀️,"woman gesturing OK: dark skin tone",People & Body,1F646 1F3FF 200D 2640 FE0F,false
💁,"person tipping hand",People & Body,1F481,true
💁🏻,"person tipping hand: light skin tone",People & Body,1F481 1F3FB,false
💁🏼,"person tipping hand: medium-light skin tone",People & Body,1F481 1F3FC,false
💁🏽,"person tipping hand: medium skin tone",People & Body,1F481 1F3FD,false
💁🏾,"person tipping hand: medium-dark skin tone",People & Body,1F481 1F3FE,false
💁🏿,"person tipping hand: dark skin tone",People & Body,1F481 1F3FF,false
💁‍♂️,"man tipping hand",People & Body,1F481 200D 2642 FE0F,false
💁🏻‍♂️,"man tipping hand: light skin tone",People & Body,1F481 1F3FB 200D 2642 FE0F,false
💁🏼‍♂️,"man tipping hand: medium-light skin tone",People & Body,1F481 1F3FC 200D 2642 FE0F,false
💁🏽‍♂️,"man tipping hand: medium skin tone",People & Body,1F481 1F3FD 200D 2642 FE0F,false
💁🏾‍♂️,"man tipping hand: medium-dark skin tone",People & Body,1F481 1F3FE 200D 2642 FE0F,false
💁🏿‍♂️,"man tipping hand: dark skin tone",People & Body,1F481 1F3FF 200D 2642 FE0F,false
💁‍♀️,"woman tipping hand",People & Body,1F481 200D 2640 FE0F,false
💁🏻‍♀️,"woman tipping hand: light skin tone",People & Body,1F481 1F3FB 200D 2640 FE0F,false
💁🏼‍♀️,"woman tipping hand: medium-light skin tone",People & Body,1F481 1F3FC 200D 2640 FE0F,false
💁🏽‍♀️,"woman tipping hand: medium skin tone",People & Body,1F481 1F3FD 200D 2640 FE0F,false
💁🏾‍♀️,"woman tipping hand: medium-dark skin tone",People & Body,1F481 1F3FE 200D 2640 FE0F,false
💁🏿‍♀️,"woman tipping hand: dark skin tone",People & Body,1F481 1F3FF 200D 2640 FE0F,false
🙋,"person raising hand",People & Body,1F64B,true
🙋🏻,"person raising hand: light skin tone",People & Body,1F64B 1F3FB,false
🙋🏼,"person raising hand: medium-light skin tone",People & Body,1F64B 1F3FC,false
🙋🏽,"person raising hand: medium skin tone",People & Body,1F64B 1F3FD,false
